VDC("/Vout") X,VDC("/Vout") Y
1.62,1.20002225219472
1.63,1.20002223107468
1.64,1.20002222699581
1.65,1.200022237215595
1.66,1.200022259303621
1.67,1.200022290998653
1.68,1.200022330291999
1.69,1.200022375462531
1.7,1.200022425126194
1.71,1.200022478197937
1.72,1.200022533844433
1.73,1.200022591460113
1.74,1.200022650588312
1.75,1.200022710787016
1.76,1.200022773732125
1.77,1.200022834017039
1.78,1.200022896531137
1.79,1.20002295955
1.8,1.200023022977324
1.81,1.200023086751558
1.82,1.200023150830218
1.83,1.200023037020004
1.84,1.200023279954599
1.85,1.200023344474038
1.86,1.200023441581559
1.87,1.200023474506613
1.88,1.200023539754188
1.89,1.200023604741235
1.9,1.200023670672215
1.91,1.200023736318055
1.92,1.200023802078649
1.93,1.200023867948249
1.94,1.200023933887701
1.95,1.20002399933069
1.96,1.200024066115358
1.97,1.20002413242443
1.98,1.200024198774029
