db(mag((VF("/Vout") / VF("/Vin")))) (r_load=120) X,db(mag((VF("/Vout") / VF("/Vin")))) (r_load=120) Y
1000,-63.8405681173526
1318.256738556407,-61.44110150607155
1737.800828749376,-59.04141126005758
2290.867652767774,-56.64159436548474
3019.951720402017,-54.2417081647031
3981.071705534974,-51.84178829965604
5248.074602497729,-49.44185987016043
6918.30970918937,-47.04194529387266
9120.108393559105,-44.64207132686843
12022.64434617414,-42.24227744188117
15848.93192461115,-39.84262818474957
20892.96130854042,-37.44323336878507
27542.2870333817,-35.04428240033914
36307.80547701019,-32.64610339004185
47863.00923226391,-30.24926527140536
63095.73444801943,-27.85475402894093
83176.37711026725,-25.4642755809113
109647.8196143187,-23.0807722604813
144543.977074593,-20.70929119904661
190546.0717963251,-18.35840813539796
251188.6431509586,-16.04245789854858
331131.1214825919,-13.78474051964545
436515.8322401671,-11.62137367037054
575439.9373371585,-9.604070702623284
758577.5750291859,-7.797744890023155
1000000.000000003,-6.267656623832445
1318256.738556411,-5.056265774947572
1737800.828749381,-4.162639072545553
2290867.652767781,-3.541451853602606
3019951.720402027,-3.121797467185491
3981071.705534987,-2.828634273162422
5248074.602497745,-2.593363078464202
6918309.709189391,-2.35396706594737
9120108.393559132,-2.055083585662581
12022644.34617417,-1.663380754876092
15848931.9246112,-1.201544591030249
20892961.30854048,-0.7628000778396454
27542287.03338178,-0.4718684207915091
36307805.47701029,-0.4605209974894678
47863009.23226404,-0.9541872697217691
63095734.4480196,-2.360723522598799
83176377.11026748,-4.919309549834429
109647819.614319,-8.311768600805401
144543977.0745934,-12.01865044292587
190546071.7963256,-15.52568165110597
251188643.1509592,-18.62886217270401
331131121.4825927,-21.45736445932009
436515832.2401682,-24.16710149141577
575439937.3371599,-26.80203026436984
758577575.0291877,-29.34953761252962
1000000000,-31.78714945947733
